Date,lexicon_sentiment,transformer_sentiment,price_change_pct
2008-01-02,0.0,-0.522108256816864,0.0
2008-01-03,0.0,0.8616265058517456,-2.1407446308632117
2008-01-07,0.0,0.5865659713745117,-0.49781807397364375
2008-01-09,-0.35,-0.4216964840888977,0.7948166599249129
2008-01-10,0.0,0.5423396229743958,-7.732710004013144
2008-01-22,-0.175,-0.602433055639267,3.95268981304846
2008-01-29,0.0,-0.766623318195343,-0.47640020553475493
2008-01-30,0.0,0.0,2.9215008002596354
2008-02-01,0.0,0.0,-4.212351836722994
2008-02-05,-0.19999999999999998,-0.3080311417579651,0.18628800574576054
2008-02-11,-0.3,-0.8901388943195343,0.25389618632991606
2008-02-21,0.6,0.0,0.7880643263092679
2008-02-22,-0.3,-0.4473825991153717,1.0767786802255763
2008-02-28,0.0,0.0,-2.708967009826857
2008-02-29,-0.6,-0.9474233984947205,0.2307177802995497
2008-03-05,0.6,0.0,-3.0239184224338467
2008-03-07,-0.3,-0.48535066843032837,-1.5463479128169033
2008-03-10,-0.6,-0.968096137046814,3.7129820869032715
2008-03-11,0.0,0.5338107347488403,0.7640177185476826
2008-03-18,0.0,-0.5890727043151855,-0.37422787321340634
2008-03-27,0.0,-0.9592165946960449,3.1506456673907834
2008-04-02,-0.6,-0.9712823033332825,0.36635393739077315
2008-04-07,0.6,0.0,-0.5704751774083028
2008-04-16,0.32499999999999996,0.33367493748664856,0.822885448190469
2008-04-22,0.0,0.0,0.28998357486518245
2008-04-23,0.0,-0.6448158025741577,0.6442355771669517
2008-04-24,0.0,-0.9571346044540405,0.6494722138218112
2008-04-25,-0.6,0.0,0.690350826990227
2008-05-05,0.0,0.0,0.7651919374205063
2008-05-06,0.0,0.8174100518226624,-1.8113745011492988
2008-05-07,0.0,-0.9561597108840942,0.36694744249841094
2008-05-08,0.04999999999999999,-0.9680330157279968,0.422128097990937
2008-05-12,-0.18333333333333335,0.2633344729741414,1.551033785035405
2008-05-16,0.6,-0.9075108170509338,-2.4302802820359792
2008-05-21,0.0,0.0,-1.0627665005644604
2008-05-23,0.0,0.0,0.6846278517075532
2008-05-27,0.0,0.0,0.9318944671021789
2008-05-29,-0.3,-0.9027259349822998,-0.9004047888089395
2008-06-02,-0.6,-0.9575709700584412,-0.6112566484083537
2008-06-04,0.0,-0.016932636499404907,1.9496079000871358
2008-06-05,0.0,0.0,-3.0120009971154826
2008-06-09,0.0,-0.4814242720603943,-0.1270414757372773
2008-06-13,0.7,-0.8085646629333496,-3.0955199517657683
2008-06-20,-0.6,-0.9387474656105042,-0.2761906929806712
2008-06-24,0.0,0.0,-2.235427493171205
2008-07-01,0.0,-0.9238633513450623,-1.820360959133327
2008-07-02,-0.3,-0.485948771238327,-0.730071659585263
2008-07-07,0.6,0.0,-0.6084755372072315
2008-07-09,-0.6,-0.9516121745109558,-1.3167937398067098
2008-07-14,-0.6,0.0,4.387364650329739
2008-07-23,0.0,0.0,-1.481059749335123
2008-07-29,-0.4,0.8847354054450989,0.33090563647879545
2008-07-31,0.0,-0.6515974402427673,-0.5578437406302927
2008-08-01,0.0,0.7736913561820984,-0.89660480358007
2008-08-04,0.6,0.0,3.78779993755054
2008-08-08,0.0,0.0,-0.8092137743766936
2008-08-13,0.0,-0.9489952921867371,0.5521725266948385
2008-08-14,0.0,0.8654046654701233,-2.029498890117798
2008-08-19,0.0,0.0,0.38051930622329255
2008-08-26,-0.3,0.4453684389591217,0.7982634820017154
2008-08-27,-0.3,0.0,1.484012920743405
2008-08-28,0.0,0.0,-1.9758895347049221
2008-09-03,0.0,-0.9591954350471497,-3.9584934665641835
2008-09-09,0.0,0.0,0.6149398534924133
2008-09-10,0.0,0.0,1.3806369923054396
2008-09-11,0.0,0.0,-4.511428685801199
2008-09-15,0.0,-0.9119174480438232,1.7523266538106652
2008-09-16,-0.3,-0.856216311454773,-4.714073829927468
2008-09-17,0.0,-0.9216810464859009,8.534318006900765
2008-09-19,0.0,0.0,-5.514389520986718
2008-09-24,0.7,0.0,2.310539941140277
2008-09-26,0.0,0.0,-8.806778375794334
2008-09-29,-0.2333333333333333,-0.9470430413881937,4.93845013647618
2008-10-01,0.0,0.0,-8.971973885931806
2008-10-06,0.0,0.0,-5.7394809298981
2008-10-07,-0.6,-0.9614409804344177,0.7146943978800113
2008-10-13,0.0,-0.825455904006958,-9.519110978222955
2008-10-15,0.0,-0.46757376194000244,3.603057807543175
2008-10-17,-0.2,0.3723229765892029,4.76848652384243
2008-10-20,0.0,0.0,-3.0799675258778136
2008-10-21,0.0,0.0,-4.914925920108892
2008-10-23,0.10000000000000002,-0.9096114933490753,-3.4511237625397873
2008-10-24,-0.25,-0.465058296918869,6.081412457086821
2008-10-29,0.0,0.0,2.580395445602046
2008-10-30,-0.2,-0.33068588376045227,1.2797534823758783
2008-11-03,0.0,-0.12816426157951355,4.082583048742627
2008-11-04,0.0,0.0,-5.267710663683822
2008-11-05,0.0,0.0,-2.285966182814314
2008-11-07,0.0,0.0,-1.2653197134233407
2008-11-10,0.3,-0.9564965963363647,-2.204066535394522
2008-11-11,-0.15,-0.4862304925918579,-5.361811001724237
2008-11-17,-0.375,-0.4800340235233307,-5.961798413164853
2008-11-21,0.0,0.0,6.472257290351613
2008-11-24,0.0,0.9155457019805908,4.211032976837559
2008-11-26,0.4,0.0,-8.051324801730342
2008-12-01,0.0,0.0,3.9940701535144063
2008-12-02,0.0,0.0,2.583617063889454
2008-12-03,0.0,0.0,-2.93084043457289
2008-12-04,-0.6,-0.9656120538711548,5.14067343413549
